13:55:04 [WARN] Thread 6: Deal fails: crate 37 flate2, corrupt deflate stream
13:56:03 [WARN] Thread 1: Fetch fails: crate 39 libz-sys, Download error.
13:56:03 [WARN] Thread 9: Fetch fails: crate 67 khronos_api, Download error.
14:06:22 [WARN] Thread 11: Deal fails: crate 37 flate2, corrupt deflate stream
14:11:46 [WARN] Thread 7: Deal fails: crate 236 ppapi, corrupt deflate stream
14:12:48 [WARN] Thread 9: Deal fails: crate 236 ppapi, corrupt deflate stream
14:12:49 [WARN] Thread 5: Fetch fails: crate 198 protobuf, Download error.
14:12:49 [WARN] Thread 6: Fetch fails: crate 238 zip, Download error.
14:12:49 [WARN] Thread 10: Fetch fails: crate 198 protobuf, Download error.
14:12:50 [WARN] Thread 8: Fetch fails: crate 238 zip, Download error.
14:13:12 [WARN] Thread 7: Fetch fails: crate 246 irc, Download error.
14:13:13 [WARN] Thread 2: Fetch fails: crate 246 irc, Download error.
14:13:26 [WARN] Thread 3: Fetch fails: crate 231 openssl, Download error.
14:13:27 [WARN] Thread 11: Fetch fails: crate 231 openssl, Download error.
14:13:44 [WARN] Thread 4: Fetch fails: crate 251 bindgen, Download error.
14:13:44 [WARN] Thread 5: Fetch fails: crate 251 bindgen, Download error.
14:19:31 [WARN] Thread 0: Fetch fails: crate 385 mysql, Download error.
14:19:31 [WARN] Thread 11: Fetch fails: crate 385 mysql, Download error.
14:21:20 [WARN] Thread 1: Fetch fails: crate 463 serde, Download error.
14:21:20 [WARN] Thread 11: Fetch fails: crate 463 serde, Download error.
14:22:08 [WARN] Thread 8: Deal fails: crate 524 rustc-serialize, corrupt deflate stream
14:24:54 [WARN] Thread 10: Deal fails: crate 538 curl-sys, corrupt deflate stream
14:27:19 [WARN] Thread 5: Fetch fails: crate 648 handlebars, Download error.
14:27:20 [WARN] Thread 6: Fetch fails: crate 648 handlebars, Download error.
14:31:36 [WARN] Thread 1: Fetch fails: crate 873 glib-2-0-sys, Download error.
14:31:37 [WARN] Thread 6: Fetch fails: crate 874 gobject-2-0-sys, Download error.
14:31:57 [WARN] Thread 1: Fetch fails: crate 882 rl-sys, Download error.
14:31:58 [WARN] Thread 9: Deal fails: crate 882 rl-sys, No such file or directory (os error 2)
14:32:01 [WARN] Thread 8: Fetch fails: crate 887 parser-combinators, Download error.
14:32:02 [WARN] Thread 7: Fetch fails: crate 887 parser-combinators, Download error.
14:32:09 [WARN] Thread 6: Fetch fails: crate 886 rust-ini, Download error.
14:32:09 [WARN] Thread 9: Fetch fails: crate 886 rust-ini, Download error.
14:32:27 [WARN] Thread 2: Fetch fails: crate 852 conrod, Download error.
14:32:28 [WARN] Thread 0: Fetch fails: crate 852 conrod, Download error.
14:34:36 [WARN] Thread 4: Fetch fails: crate 1318 bio, Download error.
14:34:37 [WARN] Thread 0: Fetch fails: crate 1318 bio, Download error.
14:34:44 [WARN] Thread 8: Fetch fails: crate 1334 scribe, Download error.
14:34:46 [WARN] Thread 2: Fetch fails: crate 1334 scribe, Download error.
14:34:51 [WARN] Thread 3: Fetch fails: crate 1343 byteorder, Download error.
14:34:52 [WARN] Thread 10: Fetch fails: crate 1343 byteorder, Download error.
14:34:56 [WARN] Thread 9: Fetch fails: crate 1339 rand, Download error.
14:34:57 [WARN] Thread 11: Fetch fails: crate 1339 rand, Download error.
14:38:56 [WARN] Thread 10: Fetch fails: crate 1531 quasi_macros, Download error.
14:38:57 [WARN] Thread 7: Fetch fails: crate 1531 quasi_macros, Download error.
14:39:09 [WARN] Thread 7: Fetch fails: crate 1534 aster, Download error.
14:39:09 [WARN] Thread 3: Fetch fails: crate 1534 aster, Download error.
14:39:18 [WARN] Thread 11: Fetch fails: crate 1541 gstreamer, Download error.
14:39:19 [WARN] Thread 1: Fetch fails: crate 1541 gstreamer, Download error.
14:40:11 [WARN] Thread 5: Fetch fails: crate 1498 clap, Download error.
14:40:11 [WARN] Thread 9: Fetch fails: crate 1498 clap, Download error.
14:44:56 [WARN] Thread 4: Fetch fails: crate 1731 x86, Download error.
14:44:58 [WARN] Thread 8: Fetch fails: crate 1731 x86, Download error.
14:45:04 [WARN] Thread 2: Fetch fails: crate 1779 intervallum, Download error.
14:45:04 [WARN] Thread 4: Fetch fails: crate 1779 intervallum, Download error.
14:45:10 [WARN] Thread 0: Fetch fails: crate 1783 smallvec, Download error.
14:45:11 [WARN] Thread 5: Fetch fails: crate 1783 smallvec, Download error.
14:48:48 [WARN] Thread 9: Fetch fails: crate 1904 pistoncore-glutin_window, Download error.
14:48:48 [WARN] Thread 3: Fetch fails: crate 1904 pistoncore-glutin_window, Download error.
14:48:59 [WARN] Thread 5: Fetch fails: crate 1860 piston_window, Download error.
14:49:00 [WARN] Thread 8: Fetch fails: crate 1860 piston_window, Download error.
14:49:14 [WARN] Thread 4: Fetch fails: crate 1989 string_cache, Download error.
14:49:15 [WARN] Thread 10: Fetch fails: crate 1989 string_cache, Download error.
14:49:45 [WARN] Thread 7: Fetch fails: crate 1984 wayland-client, Download error.
14:49:45 [WARN] Thread 6: Fetch fails: crate 1984 wayland-client, Download error.
14:50:01 [WARN] Thread 9: Deal fails: crate 2068 libbreakpad-client-sys, corrupt deflate stream
14:54:37 [WARN] Thread 4: Fetch fails: crate 2062 clippy, Download error.
14:54:38 [WARN] Thread 0: Fetch fails: crate 2062 clippy, Download error.
14:54:40 [WARN] Thread 1: Fetch fails: crate 2174 rustorm, Download error.
14:54:40 [WARN] Thread 2: Deal fails: crate 2174 rustorm, No such file or directory (os error 2)
14:54:40 [WARN] Thread 5: Fetch fails: crate 2167 mongodb, Download error.
14:54:40 [WARN] Thread 0: Fetch fails: crate 2167 mongodb, Download error.
14:54:45 [WARN] Thread 3: Fetch fails: crate 2107 opencv, Download error.
14:54:45 [WARN] Thread 8: Fetch fails: crate 2194 ramp, Download error.
14:54:47 [WARN] Thread 0: Fetch fails: crate 2194 ramp, Download error.
14:54:47 [WARN] Thread 4: Fetch fails: crate 2107 opencv, Download error.
14:55:03 [WARN] Thread 6: Fetch fails: crate 2215 png, Download error.
14:55:04 [WARN] Thread 8: Fetch fails: crate 2215 png, Download error.
