10:28:22 [WARN] Thread 0: Fetch fails: crate 96755 css-modules, Download error.
10:28:54 [WARN] Thread 7: Fetch fails: crate 96794 mongo-file-center, Download error.
10:28:54 [WARN] Thread 2: Fetch fails: crate 96794 mongo-file-center, Download error.
10:29:05 [WARN] Thread 10: Fetch fails: crate 96755 css-modules, Download error.
10:29:14 [WARN] Thread 8: Fetch fails: crate 97106 rocket-etagged-raw-response, Download error.
10:29:16 [WARN] Thread 5: Fetch fails: crate 97027 symbolic-unreal, Download error.
10:29:16 [WARN] Thread 2: Fetch fails: crate 97106 rocket-etagged-raw-response, Download error.
10:29:16 [WARN] Thread 9: Fetch fails: crate 97027 symbolic-unreal, Download error.
10:29:20 [WARN] Thread 10: Fetch fails: crate 97130 rocket-mongo-file-center-raw-response, Download error.
10:29:21 [WARN] Thread 3: Fetch fails: crate 97130 rocket-mongo-file-center-raw-response, Download error.
10:33:15 [WARN] Thread 11: Fetch fails: crate 98348 v_escape, Download error.
10:33:16 [WARN] Thread 6: Fetch fails: crate 98348 v_escape, Download error.
10:33:16 [WARN] Thread 6: Fetch fails: crate 98380 bumpalo, Download error.
10:33:41 [WARN] Thread 4: Fetch fails: crate 98507 clickhouse-rs, Download error.
10:33:42 [WARN] Thread 8: Fetch fails: crate 98507 clickhouse-rs, Download error.
10:33:54 [WARN] Thread 3: Fetch fails: crate 98432 sequoia-openpgp, Download error.
10:33:55 [WARN] Thread 0: Fetch fails: crate 98432 sequoia-openpgp, Download error.
10:33:56 [WARN] Thread 10: Fetch fails: crate 97365 swc_ecma_codegen, Download error.
10:33:57 [WARN] Thread 2: Fetch fails: crate 97365 swc_ecma_codegen, Download error.
10:35:37 [WARN] Thread 9: Fetch fails: crate 97363 swc_ecma_parser, Download error.
10:35:38 [WARN] Thread 5: Fetch fails: crate 97363 swc_ecma_parser, Download error.
10:37:18 [WARN] Thread 7: Fetch fails: crate 100061 glean, Download error.
10:37:18 [WARN] Thread 6: Fetch fails: crate 100061 glean, Download error.
10:37:19 [WARN] Thread 9: Fetch fails: crate 99677 tetra, Download error.
10:37:20 [WARN] Thread 3: Fetch fails: crate 99677 tetra, Download error.
10:39:50 [WARN] Thread 2: Fetch fails: crate 101454 actix-utils, Download error.
10:39:51 [WARN] Thread 6: Fetch fails: crate 101454 actix-utils, Download error.
10:39:53 [WARN] Thread 7: Fetch fails: crate 101456 actix-server, Download error.
10:39:53 [WARN] Thread 1: Fetch fails: crate 101456 actix-server, Download error.
10:42:48 [WARN] Thread 4: Fetch fails: crate 102800 mailchimp, Download error.
10:42:48 [WARN] Thread 8: Fetch fails: crate 102800 mailchimp, Download error.
10:42:50 [WARN] Thread 2: Fetch fails: crate 102845 virtdisk-rs, Download error.
10:42:50 [WARN] Thread 6: Deal fails: crate 102845 virtdisk-rs, No such file or directory (os error 2)
10:42:51 [WARN] Thread 4: Fetch fails: crate 102833 yj, Download error.
10:42:52 [WARN] Thread 7: Fetch fails: crate 102833 yj, Download error.
10:42:54 [WARN] Thread 3: Fetch fails: crate 102886 korean_numbers, Download error.
10:42:55 [WARN] Thread 0: Fetch fails: crate 102886 korean_numbers, Download error.
10:42:56 [WARN] Thread 11: Fetch fails: crate 102700 starling, Download error.
10:42:56 [WARN] Thread 9: Fetch fails: crate 102700 starling, Download error.
10:45:53 [WARN] Thread 0: Fetch fails: crate 103992 gfx-backend-metal, Download error.
10:45:54 [WARN] Thread 1: Fetch fails: crate 103992 gfx-backend-metal, Download error.
10:46:01 [WARN] Thread 8: Fetch fails: crate 103997 gfx-backend-dx11, Download error.
10:46:02 [WARN] Thread 5: Fetch fails: crate 103997 gfx-backend-dx11, Download error.
10:46:04 [WARN] Thread 7: Fetch fails: crate 103995 gfx-backend-dx12, Download error.
10:46:04 [WARN] Thread 2: Fetch fails: crate 103995 gfx-backend-dx12, Download error.
10:46:09 [WARN] Thread 1: Fetch fails: crate 104038 rusp, Download error.
10:46:09 [WARN] Thread 11: Fetch fails: crate 104038 rusp, Download error.
10:46:15 [WARN] Thread 3: Fetch fails: crate 104207 tokio-yamux, Download error.
10:46:16 [WARN] Thread 2: Fetch fails: crate 104207 tokio-yamux, Download error.
10:49:02 [WARN] Thread 3: Fetch fails: crate 105031 libp2p-kad, Download error.
10:49:04 [WARN] Thread 2: Deal fails: crate 105031 libp2p-kad, No such file or directory (os error 2)
10:53:23 [WARN] Thread 11: Fetch fails: crate 106337 solana-budget-program, Download error.
10:53:23 [WARN] Thread 4: Fetch fails: crate 106337 solana-budget-program, Download error.
10:53:29 [WARN] Thread 10: Fetch fails: crate 106126 broot, Download error.
10:53:29 [WARN] Thread 5: Fetch fails: crate 106126 broot, Download error.
10:53:54 [WARN] Thread 9: Fetch fails: crate 106319 solana-keygen, Download error.
10:53:55 [WARN] Thread 7: Fetch fails: crate 106319 solana-keygen, Download error.
10:53:58 [WARN] Thread 1: Fetch fails: crate 106307 solana-logger, Download error.
10:53:58 [WARN] Thread 6: Fetch fails: crate 106307 solana-logger, Download error.
10:54:06 [WARN] Thread 4: Fetch fails: crate 106623 solana-genesis, Download error.
10:54:07 [WARN] Thread 8: Fetch fails: crate 106623 solana-genesis, Download error.
10:54:14 [WARN] Thread 11: Fetch fails: crate 106369 solana-vote-program, Download error.
10:54:15 [WARN] Thread 2: Fetch fails: crate 106369 solana-vote-program, Download error.
10:54:15 [WARN] Thread 0: Fetch fails: crate 106327 solana-metrics, Download error.
10:54:16 [WARN] Thread 3: Fetch fails: crate 106327 solana-metrics, Download error.
10:57:01 [WARN] Thread 5: Fetch fails: crate 108581 windows, Download error.
10:57:05 [WARN] Thread 11: Fetch fails: crate 108581 windows, Download error.
10:57:16 [WARN] Thread 7: Fetch fails: crate 108938 tract-linalg, Download error.
10:57:16 [WARN] Thread 8: Fetch fails: crate 108938 tract-linalg, Download error.
10:57:22 [WARN] Thread 3: Fetch fails: crate 109296 cargo-insta, Download error.
10:57:23 [WARN] Thread 5: Fetch fails: crate 109296 cargo-insta, Download error.
10:59:36 [WARN] Thread 10: Fetch fails: crate 110412 quiche, Download error.
